Array Size,Bubble Sort Time (ms),Selection Sort Time (ms),Insertion Sort Time (ms),Merge Sort Time (ms),Shell Sort Time (ms),Quick Sort Time (ms),Heap Sort Time (ms),Linear Search Time (ms),Binary Search Time (ms)
10000,48,30,16,1,2,1,1,0,0
20000,200,109,54,1,2,0,1,0,0
30000,275,133,116,2,3,1,2,0,0
40000,684,416,60,5,3,1,3,0,0
50000,1078,648,95,4,4,2,3,0,0
60000,1563,929,140,4,5,2,4,1,0
70000,2152,1275,193,5,5,3,5,0,0
80000,2906,1691,258,6,6,4,5,0,0
90000,3782,2174,327,7,8,4,6,0,0
100000,4832,1522,423,6,8,4,7,0,0
110000,8537,1832,497,8,9,5,7,0,0
120000,10455,2162,594,8,10,5,8,0,0
130000,12527,2561,683,10,12,5,9,0,0
140000,14708,3019,805,9,12,6,10,0,0
150000,16979,3476,925,11,14,7,11,0,0
160000,19670,3899,1040,14,13,7,12,0,0
170000,22935,4467,1190,15,15,8,13,0,0
180000,25717,4972,1325,34,18,8,13,0,0
190000,29200,5508,1487,17,17,9,14,0,0
200000,32923,6295,1633,19,18,9,16,0,0
